Judul; Anggaran Pendapatan Belanja Daerah;;
Daerah; Kota Yogyakarta;;
Tahun;;;
Kode Organisasi;1.06.01;;
Nama Organisasi;Badan Perencanaan Pembangunan Daerah;;
Kolom;4;;
KODE REKENING ;URAIAN ;ANGGARAN ;PENJELASAN
1.06.1.06.01.063.04.5.2.2.01;Belanja Bahan Pakai Habis ;11375000;
1.06.1.06.01.063.04.5.2.2.01.01;Belanja  Alat Tulis Kantor;11375000;Belanja  Alat Tulis Kantor 11.375.000
1.06.1.06.01.063.04.5.2.2.03;Belanja Jasa Kantor;11750000;
1.06.1.06.01.063.04.5.2.2.03.11;Belanja Dekorasi, Dokumentasi, Publikasi;1250000;Belanja Dekorasi, Dokumentasi, Publikasi 1.250.000
1.06.1.06.01.063.04.5.2.2.03.26;Belanja Jasa Penyedia /Tenaga Teknis;10500000;Belanja Jasa Penyedia /Tenaga Teknis 10.500.000
1.06.1.06.01.063.04.5.2.2.06;Belanja Cetak Dan Penggandaan;6520000;
1.06.1.06.01.063.04.5.2.2.06.01;Belanja Cetak;1375000;Belanja Cetak 1.375.000
1.06.1.06.01.063.04.5.2.2.06.02;Belanja Penggandaan;5145000;Belanja Penggandaan 5.145.000
1.06.1.06.01.063.04.5.2.2.10;Belanja Sewa Perlengkapan dan Peralatan Kantor;3852500;
1.06.1.06.01.063.04.5.2.2.10.01;Belanja Sewa Meja Kursi;1752500;Belanja Sewa Meja Kursi 1.752.500
1.06.1.06.01.063.04.5.2.2.10.09;Belanja Sewa Sound System;600000;Belanja Sewa Sound System 600.000
1.06.1.06.01.063.04.5.2.2.10.17;Belanja Sewa Peralatan Kesenian/Perlengkapan Pertunjukan Seni;1500000;Belanja Sewa Peralatan Kesenian/Perlengkapan Pertunjukan Seni 1.500.000
1.06.1.06.01.063.04.5.2.2.11;Belanja Makanan Dan Minuman;76610000;
1.06.1.06.01.063.04.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;76610000;Belanja Makanan Dan Minuman Rapat 76.610.000
1.06.1.06.01.063.04.5.2.2.15;Belanja Perjalanan Dinas;7000000;
1.06.1.06.01.063.04.5.2.2.15.01;Belanja Perjalanan Dinas Dalam Daerah;7000000;Belanja Perjalanan Dinas Dalam Daerah 7.000.000
1.06.1.06.01.063.04.5.2.2.21;Belanja Jasa Konsultansi;50000000;
1.06.1.06.01.063.04.5.2.2.21.07;Belanja Jasa Konsultansi Teknologi Informasi;50000000;Belanja Jasa Konsultansi Teknologi Informasi 50.000.000
1.06.1.06.01.063.04.5.2.2.33;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;8550000;
1.06.1.06.01.063.04.5.2.2.33.01;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator;8550000;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator 8.550.000
1.06.1.06.01.063.05;Perencanaan Pembangunan Ekososbud;333913000;
1.06.1.06.01.063.05.5.2.1;BELANJA PEGAWAI;45370000;
1.06.1.06.01.063.05.5.2.1.01;Honorarium PNS;45370000;
1.06.1.06.01.063.05.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;45370000;Honorarium Panitia Pelaksana Kegiatan 45.370.000
1.06.1.06.01.063.05.5.2.2;BELANJA BARANG DAN JASA;288543000;
1.06.1.06.01.063.05.5.2.2.06;Belanja Cetak Dan Penggandaan;4293000;
1.06.1.06.01.063.05.5.2.2.06.02;Belanja Penggandaan;4293000;Belanja Penggandaan 4.293.000
1.06.1.06.01.063.05.5.2.2.11;Belanja Makanan Dan Minuman;14250000;
1.06.1.06.01.063.05.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;14250000;Belanja Makanan Dan Minuman Rapat 14.250.000
1.06.1.06.01.063.05.5.2.2.21;Belanja Jasa Konsultansi;270000000;
1.06.1.06.01.063.05.5.2.2.21.05;Belanja Jasa Konsultansi Kajian;270000000;Belanja Jasa Konsultansi Kajian 270.000.000
1.06.1.06.01.063.06;Percepatan Pembangunan Sarpras dan Tata Ruang;1028500000;
1.06.1.06.01.063.06.5.2.1;BELANJA PEGAWAI;286335000;
1.06.1.06.01.063.06.5.2.1.01;Honorarium PNS;286335000;
1.06.1.06.01.063.06.5.2.1.01.01;Honorarium Panitia Pelaksana Kegiatan;285810000;Honorarium Panitia Pelaksana Kegiatan 285.810.000
1.06.1.06.01.063.06.5.2.1.01.02;Honorarium Tim Pengadaan Barang/Jasa;525000;Honorarium Tim Pengadaan Barang/Jasa 525.000
1.06.1.06.01.063.06.5.2.2;BELANJA BARANG DAN JASA;742165000;
1.06.1.06.01.063.06.5.2.2.03;Belanja Jasa Kantor;186500000;
1.06.1.06.01.063.06.5.2.2.03.15;Belanja Iuran;170000000;Belanja Iuran 170.000.000
1.06.1.06.01.063.06.5.2.2.03.26;Belanja Jasa Penyedia /Tenaga Teknis;16500000;Belanja Jasa Penyedia /Tenaga Teknis 16.500.000
1.06.1.06.01.063.06.5.2.2.06;Belanja Cetak Dan Penggandaan;16515000;
1.06.1.06.01.063.06.5.2.2.06.02;Belanja Penggandaan;16515000;Belanja Penggandaan 16.515.000
1.06.1.06.01.063.06.5.2.2.11;Belanja Makanan Dan Minuman;80675000;
1.06.1.06.01.063.06.5.2.2.11.02;Belanja Makanan Dan Minuman Rapat;80675000;Belanja Makanan Dan Minuman Rapat 80.675.000
1.06.1.06.01.063.06.5.2.2.15;Belanja Perjalanan Dinas;3375000;
