Judul;BAPPEDA;;;
Kode  ORGANISASI : ;1.06.01;;;
tahun;2016;;;
kabupaten;kota;;;
;;;;
;;;;
No rekening;Uraian;anggaran;penjelasan;
1.06.1.06.01.042.003.5.2.2.06.02 ;Belanja Penggandaan ;8055000;Belanja Penggandaan 8055000;
1.06.1.06.01.042.003.5.2.2.11 ;Belanja Makanan Dan Minuman ;14690000;;
1.06.1.06.01.042.003.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;14690000;Belanja Makanan Dan Minuman Rapat 14690000;
1.06.1.06.01.042.004 ;Perencanaan Pembangunan Sarpras dan Tata Ruang ;668857000;;
1.06.1.06.01.042.004.5.2.1 ;BELANJA PEGAWAI ;341725000;;
1.06.1.06.01.042.004.5.2.1.01 ;Honorarium PNS ;310225000;;
1.06.1.06.01.042.004.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;310250000;Honorarium Panitia Pelaksana Kegiatan 310225000;
1.06.1.06.01.042.004.5.2.1.02 ;Honorarium Non PNS ;31500000;;
1.06.1.06.01.042.004.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;21000000;Honorarium Panitia Pelaksana Kegiatan 21000000;
1.06.1.06.01.042.004.5.2.1.02.03 ;Honorarium Pelaksana Kegiatan ;10500000;Honorarium Pelaksana Kegiatan 10500000;
1.06.1.06.01.042.004.5.2.2 ;BELANJA BARANG DAN JASA ;327132100;;
1.06.1.06.01.042.004.5.2.2.03 ;Belanja Jasa Kantor ;239862900;;
1.06.1.06.01.042.004.5.2.2.03.17 ;Belanja Iuran ;200000000;Belanja Iuran Iuran Sekber Kartamantul 20000000;
1.06.1.06.01.042.004.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;39862000;Belanja Jasa Penyedia /Tenaga Teknis 39862900;
1.06.1.06.01.042.004.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;8628000;;
1.06.1.06.01.042.004.5.2.2.06.02 ;Belanja Penggandaan ;8628000;Belanja Penggandaan 8628000;
1.06.1.06.01.042.004.5.2.2.11 ;Belanja Makanan Dan Minuman ;33150000;;
1.06.1.06.01.042.004.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;33150000;Belanja Makanan Dan Minuman Rapat 33150000;
1.06.1.06.01.042.004.5.2.2.15 ;Belanja Perjalanan Dinas ;16500000;;
1.06.1.06.01.042.004.5.2.2.15.02 ;Belanja Perjalanan Dinas Luar Daerah ;16500000;Belanja Perjalanan Dinas Luar Daerah 16500000;
1.06.1.06.01.042.004.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;28991200;;
1.06.1.06.01.042.004.5.2.2.31.01 ;Belanja Jasa Tenaga Ahli ;28991200;Belanja Jasa Tenaga Ahli 28991200;
1.06.1.06.01.043 ;Program Penelitian dan Pengembangan Daerah ;1584642500;;
1.06.1.06.01.043.001 ;Pengelolaan Jaringan Penelitian (Jarlit) ;177337500;;
1.06.1.06.01.043.001.5.2.1 ;BELANJA PEGAWAI ;62580000;;
1.06.1.06.01.043.001.5.2.1.01 ;Honorarium PNS ;47830000;;
1.06.1.06.01.043.001.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;47030000;Honorarium Panitia Pelaksana Kegiatan 47030000;
1.06.1.06.01.043.001.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;800000;Honorarium Tim Pengadaan Barang dan Jasa 800000;
1.06.1.06.01.043.001.5.2.1.02 ;Honorarium Non PNS ;14750000;;
1.06.1.06.01.043.001.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;10000000;Honorarium Panitia Pelaksana Kegiatan 10000000;
1.06.1.06.01.043.001.5.2.1.02.03 ;Honorarium Pelaksana Kegiatan ;4750000;Honorarium Pelaksana Kegiatan 4750000;
1.06.1.06.01.043.001.5.2.2 ;BELANJA BARANG DAN JASA ;114757500;;
1.06.1.06.01.043.001.5.2.2.01 ;Belanja Bahan Pakai Habis ;2150000;;
1.06.1.06.01.043.001.5.2.2.01.01 ;Belanja  Alat Tulis Kantor ;2150000;Belanja  Alat Tulis Kantor 2150000;
1.06.1.06.01.043.001.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;14362500;;
1.06.1.06.01.043.001.5.2.2.06.02 ;Belanja Penggandaan ;14362500;Belanja Penggandaan 14362500;
1.06.1.06.01.043.001.5.2.2.11 ;Belanja Makanan Dan Minuman ;38720000;;
1.06.1.06.01.043.001.5.2.2.11.02 ;Belanja Makanan Dan Minuman Rapat ;38720000;Belanja Makanan Dan Minuman Rapat 38720000;
1.06.1.06.01.043.001.5.2.2.15 ;Belanja Perjalanan Dinas ;5375000;;
1.06.1.06.01.043.001.5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;5375000;Belanja Perjalanan Dinas Dalam Daerah 5375000;
1.06.1.06.01.043.001.5.2.2.21 ;Belanja Jasa Konsultansi ;40500000;;
1.06.1.06.01.043.001.5.2.2.21.01 ;Belanja Jasa Konsultansi Penelitian ;40500000;Belanja Jasa Konsultansi Penelitian 40500000;
