Judul;Penjabaran Anggaran Pendaptan Belanja Daerah;;
1.17.1.17.01.071.001.5.2.2.13 ;Belanja Pakaian Kerja ;4000000;
1.17.1.17.01.071.001.5.2.2.13.01 ;Belanja Pakaian Kerja Lapangan ;4000000;Belanja Pakaian Kerja Lapangan 4000000
1.17.1.17.01.071.001.5.2.2.15 ;Belanja Perjalanan Dinas ;34750000;
1.17.1.17.01.071.001.5.2.2.15.01 ;Belanja Perjalanan Dinas Dalam Daerah ;34750000;Belanja Perjalanan Dinas Dalam Daerah 34750000
1.17.1.17.01.071.001.5.2.2.31 ;Belanja Jasa Tenaga Ahli/Instruktur/Narasumber/Moderator ;239650000;
1.17.1.17.01.071.001.5.2.2.31.01 ;Belanja Jasa Tenaga Ahli ;162000000;Belanja Jasa Tenaga Ahli 162000000
1.17.1.17.01.071.001.5.2.2.31.03 ;Belanja Jasa Narasumber ;76000000;Belanja Jasa Narasumber 76000000
1.17.1.17.01.071.001.5.2.2.31.04 ;Belanja Jasa Moderator ;1650000;Belanja Jasa Moderator 1650000
1.17.1.17.01.071.002 ;Pengelolaan Kekayaan dan Keragaman Budaya ;1136761673;
1.17.1.17.01.071.002.5.2.1 ;BELANJA PEGAWAI ;126950000;
1.17.1.17.01.071.002.5.2.1.01 ;Honorarium PNS ;54950000;
1.17.1.17.01.071.002.5.2.1.01.01 ;Honorarium Panitia Pelaksana Kegiatan ;54550000;Honorarium Panitia Pelaksana Kegiatan 54550000
1.17.1.17.01.071.002.5.2.1.01.02 ;Honorarium Tim Pengadaan Barang dan Jasa ;400000;Honorarium Tim Pengadaan Barang dan Jasa 400000
1.17.1.17.01.071.002.5.2.1.02 ;Honorarium Non PNS ;72000000;
1.17.1.17.01.071.002.5.2.1.02.01 ;Honorarium Panitia Pelaksana Kegiatan ;72000000;Honorarium Panitia Pelaksana Kegiatan 72000000
1.17.1.17.01.071.002.5.2.2 ;BELANJA BARANG DAN JASA ;1009811673;
1.17.1.17.01.071.002.5.2.2.02 ;Belanja Bahan/Material ;1000000;
1.17.1.17.01.071.002.5.2.2.02.08 ;Belanja Hadiah/Trophy ;1000000;Belanja Hadiah/Trophy 1000000Trophy Festival Seni Pertunjukan Rakyat 1000000
1.17.1.17.01.071.002.5.2.2.03 ;Belanja Jasa Kantor ;216812673;
1.17.1.17.01.071.002.5.2.2.03.13 ;Belanja Dekorasi Dokumentasi Publikasi Pembuatan Film ;189750000;Belanja Dekorasi Dokumentasi Publikasi Pembuatan Film 189750000
1.17.1.17.01.071.002.5.2.2.03.17 ;Belanja Iuran ;11000000;Belanja Iuran 11000000Iuran Jaringan Kota Pustaka Indonesia  (JKPI) 11000000
1.17.1.17.01.071.002.5.2.2.03.27 ;Belanja Jasa Penyedia /Tenaga Teknis ;16062673;Belanja Jasa Penyedia /Tenaga Teknis 16062673
1.17.1.17.01.071.002.5.2.2.06 ;Belanja Cetak Dan Penggandaan ;17005000;
1.17.1.17.01.071.002.5.2.2.06.01 ;Belanja Cetak ;6700000;Belanja Cetak 6700000
1.17.1.17.01.071.002.5.2.2.06.02 ;Belanja Penggandaan ;9795000;Belanja Penggandaan 9795000
1.17.1.17.01.071.002.5.2.2.06.03 ;Belanja Cetak Foto ;510000;Belanja Cetak Foto 510000
1.17.1.17.01.071.002.5.2.2.07 ;Belanja Sewa Rumah/Gedung/Gudang/Parkir ;10000000;
1.17.1.17.01.071.002.5.2.2.07.02 ;Belanja Sewa Gedung/Kantor/Tempat ;10000000;Belanja Sewa Gedung/Kantor/Tempat 10000000
1.17.1.17.01.071.002.5.2.2.08 ;Belanja Sewa Sarana Mobilitas ;12000000;
1.17.1.17.01.071.002.5.2.2.08.01 ;Belanja Sewa Sarana Mobilitas Darat ;12000000;Belanja Sewa Sarana Mobilitas Darat 12000000
1.17.1.17.01.071.002.5.2.2.10 ;Belanja Sewa Perlengkapan dan Peralatan Kantor ;67725000;
1.17.1.17.01.071.002.5.2.2.10.01 ;Belanja Sewa Meja Kursi ;1600000;Belanja Sewa Meja Kursi 1600000
