Judul,Penjabaran Anggaran Pendapatan dan Belanja,,
Daerah,Kabupaten Sleman,,
Tahun,2016,,
Kode Organisasi,1.06.01.00,,
Nama Organisasi,Dinas Pendidikan Pemuda dan Olahraga,,
Kolom,4,,
Kode Rekening,URAIAN,JUMLAH,Keterangan
1.01.1.01.06.00.22.019.5.2.1,Belanja Pegawai,274020000,
1.01.1.01.06.00.22.019.5.2.2,Belanja Barang Dan Jasa,131760000,
1.01.1.01.06.00.22.020,Perencanaan Kebutuhan Sarpras Sekolah,51013000,
1.01.1.01.06.00.22.020.5.2.1,Belanja Pegawai,21249000,
1.01.1.01.06.00.22.020.5.2.2,Belanja Barang Dan Jasa,29764000,
1.01.1.01.06.00.22.022,Monitoring dan Evaluasi Kependidikan,164832900,
1.01.1.01.06.00.22.022.5.2.1,Belanja Pegawai,51273000,
1.01.1.01.06.00.22.022.5.2.2,Belanja Barang Dan Jasa,113559900,
1.01.1.01.06.00.22.023,Pelayanan Perijinan Pendirian Sekolah Formal,43779500,
1.01.1.01.06.00.22.023.5.2.1,Belanja Pegawai,38524500,
1.01.1.01.06.00.22.023.5.2.2,Belanja Barang Dan Jasa,5255000,
1.01.1.01.06.00.22.024,Pelatihan penyusunan kurikulum,1214731500,
1.01.1.01.06.00.22.024.5.2.1,Belanja Pegawai,238702500,
1.01.1.01.06.00.22.024.5.2.2,Belanja Barang Dan Jasa,976029000,
1.01.1.01.06.00.22.025,Pembinaan forum masyarakat peduli pendidikan,12561500,
1.01.1.01.06.00.22.025.5.2.1,Belanja Pegawai,1921500,
1.01.1.01.06.00.22.025.5.2.2,Belanja Barang Dan Jasa,10640000,
1.01.1.01.06.00.22.026,Pembinaan dan lomba sekolah sehat,231898000,
1.01.1.01.06.00.22.026.5.2.1,Belanja Pegawai,113751000,
1.01.1.01.06.00.22.026.5.2.2,Belanja Barang Dan Jasa,118147000,
1.01.1.01.06.00.22.027,Pembinaan Forum Pengurus OSIS,89574500,
1.01.1.01.06.00.22.027.5.2.1,Belanja Pegawai,7902000,
1.01.1.01.06.00.22.027.5.2.2,Belanja Barang Dan Jasa,81672500,
1.01.1.01.06.00.22.028,Pembinaan siswa berprestasi,1242589000,
1.01.1.01.06.00.22.028.5.2.1,Belanja Pegawai,112756500,
1.01.1.01.06.00.22.028.5.2.2,Belanja Barang Dan Jasa,1129832500,
1.01.1.01.06.00.23,Program Pengembangan Kreativitas Siswa dan Guru,1967383875,
1.01.1.01.06.00.23.006,Pemillihan dan Pelatihan Paskibraka,571601650,
1.01.1.01.06.00.23.006.5.2.1,Belanja Pegawai,126996750,
1.01.1.01.06.00.23.006.5.2.2,Belanja Barang Dan Jasa,444604900,
1.01.1.01.06.00.23.007,Pembinaan Kreativitas Guru,147966925,
1.01.1.01.06.00.23.007.5.2.1,Belanja Pegawai,29637000,
1.01.1.01.06.00.23.007.5.2.2,Belanja Barang Dan Jasa,118329925,
1.01.1.01.06.00.23.009,Pekan Olahraga Siswa,420716750,
1.01.1.01.06.00.23.009.5.2.1,Belanja Pegawai,29880000,
1.01.1.01.06.00.23.009.5.2.2,Belanja Barang Dan Jasa,390836750,
1.01.1.01.06.00.23.010,Festival dan Lomba Seni Siswa,228616150,
1.01.1.01.06.00.23.010.5.2.1,Belanja Pegawai,17118000,
1.01.1.01.06.00.23.010.5.2.2,Belanja Barang Dan Jasa,211498150,
1.01.1.01.06.00.23.011,Pembinaan dan Lomba Kreativitas Siswa,598482400,
1.01.1.01.06.00.23.011.5.2.1,Belanja Pegawai,165633750,
1.01.1.01.06.00.23.011.5.2.2,Belanja Barang Dan Jasa,432848650,
1.03,Pekerjaan Umum,1298000000,
1.03.1.01.06.00.31,Program Pembangunan dan Rehabilitasi Gedung Pemerintah,1298000000,
1.03.1.01.06.00.31.002,Pembangunan dan Rehabilitasi Gedung Pemerintah,1298000000,
1.03.1.01.06.00.31.002.5.2.3,Belanja Modal,1298000000,
1.06,Perencanaan Pembangunan,26955500,
1.06.1.01.06.00.18,Program perencanaan pembangunan daerah,26955500,
1.06.1.01.06.00.18.018,Penyusunan Renstra SKPD,26955500,
1.06.1.01.06.00.18.018.5.2.1,Belanja Pegawai,13158000,
1.06.1.01.06.00.18.018.5.2.2,Belanja Barang Dan Jasa,13797500,
1.18,Pemuda dan Olah Raga,2184183700,
1.18.1.01.06.00.15,Program Pengembangan dan Keserasian Kebijakan Pemuda,202443450,
1.18.1.01.06.00.15.001,Pendataan potensi kepemudaan,22444450,
1.18.1.01.06.00.15.001.5.2.1,Belanja Pegawai,5897250,
1.18.1.01.06.00.15.001.5.2.2,Belanja Barang Dan Jasa,16547200,
1.18.1.01.06.00.15.005,Peningkatan keimanan dan ketaqwaan kepemudaan,179999000,
1.18.1.01.06.00.15.005.5.2.1,Belanja Pegawai,28674000,
